Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
2024.0;3.0;8.0;17.0;31.45;31.45;30.45;32.45;2;27.4;80;4.5
2024.0;3.0;8.0;18.0;30.91;30.91;29.91;31.91;2;26.9;80;4.5
2024.0;3.0;8.0;19.0;30.09;30.09;29.09;31.09;2;26.1;80;4.5
2024.0;3.0;8.0;20.0;30.56;30.56;29.56;31.56;2;26.6;80;4.5
2024.0;3.0;8.0;21.0;29.21;29.21;28.21;30.21;2;25.2;80;4.5
2024.0;3.0;8.0;22.0;28.67;28.67;27.67;29.67;2;24.7;80;4.5
2024.0;3.0;8.0;23.0;28.24;28.24;27.24;29.24;2;24.2;80;4.5
2024.0;3.0;8.0;24.0;29.03;29.03;28.03;30.03;2;25.0;80;4.5
2024.0;3.0;9.0;1.0;28.67;28.67;27.67;29.67;2;24.7;80;4.5
2024.0;3.0;9.0;2.0;27.56;27.56;26.56;28.56;2;23.6;80;4.5
2024.0;3.0;9.0;3.0;27.11;27.11;26.11;28.11;2;23.1;80;4.5
2024.0;3.0;9.0;4.0;27.72;27.72;26.72;28.72;2;23.7;80;4.5
2024.0;3.0;9.0;5.0;28.22;28.22;27.22;29.22;2;24.2;80;4.5
2024.0;3.0;9.0;6.0;28.53;28.53;27.53;29.53;2;24.5;80;4.5
2024.0;3.0;9.0;7.0;28.78;28.78;27.78;29.78;2;24.8;80;4.5
2024.0;3.0;9.0;8.0;28.75;28.75;27.75;29.75;2;24.8;80;4.5
2024.0;3.0;9.0;9.0;28.91;28.91;27.91;29.91;2;24.9;80;4.5
2024.0;3.0;9.0;10.0;31.38;31.38;30.38;32.38;2;27.4;80;4.5
2024.0;3.0;9.0;11.0;30.22;30.22;29.22;31.22;2;26.2;80;4.5
2024.0;3.0;9.0;12.0;31.47;31.47;30.47;32.47;2;27.5;80;4.5
2024.0;3.0;9.0;13.0;31.63;31.63;30.63;32.63;2;27.6;80;4.5
2024.0;3.0;9.0;14.0;32.18;32.18;31.18;33.18;2;28.2;80;4.5
2024.0;3.0;9.0;15.0;32.03;32.03;31.03;33.03;2;28.0;80;4.5
2024.0;3.0;9.0;16.0;31.23;31.23;30.23;32.23;2;27.2;80;4.5
2024.0;3.0;9.0;17.0;31.28;31.28;30.28;32.28;2;27.3;80;4.5
2024.0;3.0;9.0;18.0;30.13;30.13;29.13;31.13;2;26.1;80;4.5
2024.0;3.0;9.0;19.0;31.6;31.6;30.60;32.60;2;27.6;80;4.5
2024.0;3.0;9.0;20.0;30.23;30.23;29.23;31.23;2;26.2;80;4.5
2024.0;3.0;9.0;21.0;29.64;29.64;28.64;30.64;2;25.6;80;4.5
2024.0;3.0;9.0;22.0;29.16;29.16;28.16;30.16;2;25.2;80;4.5
2024.0;3.0;9.0;23.0;28.37;28.37;27.37;29.37;2;24.4;80;4.5
2024.0;3.0;9.0;24.0;28.34;28.34;27.34;29.34;2;24.3;80;4.5
2024.0;3.0;10.0;1.0;27.09;27.09;26.09;28.09;2;23.1;80;4.5
2024.0;3.0;10.0;2.0;27.35;27.35;26.35;28.35;2;23.4;80;4.5
2024.0;3.0;10.0;3.0;27.45;27.45;26.45;28.45;2;23.4;80;4.5
2024.0;3.0;10.0;4.0;27.39;27.39;26.39;28.39;2;23.4;80;4.5
2024.0;3.0;10.0;5.0;27.69;27.69;26.69;28.69;2;23.7;80;4.5
2024.0;3.0;10.0;6.0;26.82;26.82;25.82;27.82;2;22.8;80;4.5
2024.0;3.0;10.0;7.0;29.02;29.02;28.02;30.02;2;25.0;80;4.5
2024.0;3.0;10.0;8.0;29.61;29.61;28.61;30.61;2;25.6;80;4.5
2024.0;3.0;10.0;9.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;3.0;10.0;10.0;30.49;30.49;29.49;31.49;2;26.5;80;4.5
2024.0;3.0;10.0;11.0;30.35;30.35;29.35;31.35;2;26.4;80;4.5
2024.0;3.0;10.0;12.0;31.18;31.18;30.18;32.18;2;27.2;80;4.5
2024.0;3.0;10.0;13.0;31.58;31.58;30.58;32.58;2;27.6;80;4.5
2024.0;3.0;10.0;14.0;32.44;32.44;31.44;33.44;2;28.4;80;4.5
2024.0;3.0;10.0;15.0;31.71;31.71;30.71;32.71;2;27.7;80;4.5
2024.0;3.0;10.0;16.0;31.3;31.3;30.30;32.30;2;27.3;80;4.5
2024.0;3.0;10.0;17.0;31.37;31.37;30.37;32.37;2;27.4;80;4.5
2024.0;3.0;10.0;18.0;31.34;31.34;30.34;32.34;2;27.3;80;4.5
2024.0;3.0;10.0;19.0;31.43;31.43;30.43;32.43;2;27.4;80;4.5
2024.0;3.0;10.0;20.0;30.72;30.72;29.72;31.72;2;26.7;80;4.5
2024.0;3.0;10.0;21.0;29.58;29.58;28.58;30.58;2;25.6;80;4.5
2024.0;3.0;10.0;22.0;29.8;29.8;28.80;30.80;2;25.8;80;4.5
2024.0;3.0;10.0;23.0;28.82;28.82;27.82;29.82;2;24.8;80;4.5
2024.0;3.0;10.0;24.0;28.37;28.37;27.37;29.37;2;24.4;80;4.5
2024.0;3.0;11.0;1.0;28.74;28.74;27.74;29.74;2;24.7;80;4.5
2024.0;3.0;11.0;2.0;27.76;27.76;26.76;28.76;2;23.8;80;4.5
2024.0;3.0;11.0;3.0;28.08;28.08;27.08;29.08;2;24.1;80;4.5
2024.0;3.0;11.0;4.0;28.11;28.11;27.11;29.11;2;24.1;80;4.5
2024.0;3.0;11.0;5.0;28.42;28.42;27.42;29.42;2;24.4;80;4.5
2024.0;3.0;11.0;6.0;28.42;28.42;27.42;29.42;2;24.4;80;4.5
2024.0;3.0;11.0;7.0;28.33;28.33;27.33;29.33;2;24.3;80;4.5
2024.0;3.0;11.0;8.0;29.03;29.03;28.03;30.03;2;25.0;80;4.5
2024.0;3.0;11.0;9.0;29.95;29.95;28.95;30.95;2;25.9;80;4.5
2024.0;3.0;11.0;10.0;29.32;29.32;28.32;30.32;2;25.3;80;4.5
2024.0;3.0;11.0;11.0;30.47;30.47;29.47;31.47;2;26.5;80;4.5
2024.0;3.0;11.0;12.0;30.6;30.6;29.60;31.60;2;26.6;80;4.5
2024.0;3.0;11.0;13.0;30.96;30.96;29.96;31.96;2;27.0;80;4.5
2024.0;3.0;11.0;14.0;32.5;32.5;31.50;33.50;2;28.5;80;4.5
2024.0;3.0;11.0;15.0;32.0;32.0;31.00;33.00;2;28.0;80;4.5
2024.0;3.0;11.0;16.0;31.29;31.29;30.29;32.29;2;27.3;80;4.5
2024.0;3.0;11.0;17.0;30.19;30.19;29.19;31.19;2;26.2;80;4.5
2024.0;3.0;11.0;18.0;31.63;31.63;30.63;32.63;2;27.6;80;4.5
2024.0;3.0;11.0;19.0;31.44;31.44;30.44;32.44;2;27.4;80;4.5
2024.0;3.0;11.0;20.0;29.94;29.94;28.94;30.94;2;25.9;80;4.5
2024.0;3.0;11.0;21.0;29.92;29.92;28.92;30.92;2;25.9;80;4.5
2024.0;3.0;11.0;22.0;29.24;29.24;28.24;30.24;2;25.2;80;4.5
2024.0;3.0;11.0;23.0;28.61;28.61;27.61;29.61;2;24.6;80;4.5
2024.0;3.0;11.0;24.0;28.25;28.25;27.25;29.25;2;24.2;80;4.5
2024.0;3.0;12.0;1.0;29.2;29.2;28.20;30.20;2;25.2;80;4.5
2024.0;3.0;12.0;2.0;28.49;28.49;27.49;29.49;2;24.5;80;4.5
2024.0;3.0;12.0;3.0;27.76;27.76;26.76;28.76;2;23.8;80;4.5
2024.0;3.0;12.0;4.0;27.31;27.31;26.31;28.31;2;23.3;80;4.5
2024.0;3.0;12.0;5.0;28.32;28.32;27.32;29.32;2;24.3;80;4.5
2024.0;3.0;12.0;6.0;28.55;28.55;27.55;29.55;2;24.6;80;4.5
2024.0;3.0;12.0;7.0;28.04;28.04;27.04;29.04;2;24.0;80;4.5
2024.0;3.0;12.0;8.0;28.62;28.62;27.62;29.62;2;24.6;80;4.5
2024.0;3.0;12.0;9.0;30.12;30.12;29.12;31.12;2;26.1;80;4.5
2024.0;3.0;12.0;10.0;29.32;29.32;28.32;30.32;2;25.3;80;4.5
2024.0;3.0;12.0;11.0;30.96;30.96;29.96;31.96;2;27.0;80;4.5
2024.0;3.0;12.0;12.0;31.43;31.43;30.43;32.43;2;27.4;80;4.5
2024.0;3.0;12.0;13.0;30.8;30.8;29.80;31.80;2;26.8;80;4.5
2024.0;3.0;12.0;14.0;32.06;32.06;31.06;33.06;2;28.1;80;4.5
2024.0;3.0;12.0;15.0;31.61;31.61;30.61;32.61;2;27.6;80;4.5
2024.0;3.0;12.0;16.0;31.05;31.05;30.05;32.05;2;27.1;80;4.5
2024.0;3.0;12.0;17.0;31.73;31.73;30.73;32.73;2;27.7;80;4.5
2024.0;3.0;12.0;18.0;31.05;31.05;30.05;32.05;2;27.1;80;4.5
2024.0;3.0;12.0;19.0;31.04;31.04;30.04;32.04;2;27.0;80;4.5
2024.0;3.0;12.0;20.0;30.5;30.5;29.50;31.50;2;26.5;80;4.5
2024.0;3.0;12.0;21.0;29.37;29.37;28.37;30.37;2;25.4;80;4.5
2024.0;3.0;12.0;22.0;29.48;29.48;28.48;30.48;2;25.5;80;4.5
2024.0;3.0;12.0;23.0;29.0;29.0;28.00;30.00;2;25.0;80;4.5
2024.0;3.0;12.0;24.0;28.43;28.43;27.43;29.43;2;24.4;80;4.5
2024.0;3.0;13.0;1.0;28.25;28.25;27.25;29.25;2;24.2;80;4.5
2024.0;3.0;13.0;2.0;28.17;28.17;27.17;29.17;2;24.2;80;4.5
2024.0;3.0;13.0;3.0;27.54;27.54;26.54;28.54;2;23.5;80;4.5
2024.0;3.0;13.0;4.0;27.98;27.98;26.98;28.98;2;24.0;80;4.5
2024.0;3.0;13.0;5.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;3.0;13.0;6.0;28.96;28.96;27.96;29.96;2;25.0;80;4.5
2024.0;3.0;13.0;7.0;28.93;28.93;27.93;29.93;2;24.9;80;4.5
2024.0;3.0;13.0;8.0;28.05;28.05;27.05;29.05;2;24.1;80;4.5
2024.0;3.0;13.0;9.0;29.11;29.11;28.11;30.11;2;25.1;80;4.5
2024.0;3.0;13.0;10.0;29.99;29.99;28.99;30.99;2;26.0;80;4.5
2024.0;3.0;13.0;11.0;30.3;30.3;29.30;31.30;2;26.3;80;4.5
2024.0;3.0;13.0;12.0;31.58;31.58;30.58;32.58;2;27.6;80;4.5
2024.0;3.0;13.0;13.0;30.33;30.33;29.33;31.33;2;26.3;80;4.5
2024.0;3.0;13.0;14.0;31.09;31.09;30.09;32.09;2;27.1;80;4.5
2024.0;3.0;13.0;15.0;33.05;33.05;32.05;34.05;2;29.0;80;4.5
2024.0;3.0;13.0;16.0;32.42;32.42;31.42;33.42;2;28.4;80;4.5
2024.0;3.0;13.0;17.0;31.14;31.14;30.14;32.14;2;27.1;80;4.5
2024.0;3.0;13.0;18.0;31.65;31.65;30.65;32.65;2;27.6;80;4.5
2024.0;3.0;13.0;19.0;30.83;30.83;29.83;31.83;2;26.8;80;4.5
2024.0;3.0;13.0;20.0;30.14;30.14;29.14;31.14;2;26.1;80;4.5
2024.0;3.0;13.0;21.0;30.43;30.43;29.43;31.43;2;26.4;80;4.5
2024.0;3.0;13.0;22.0;29.08;29.08;28.08;30.08;2;25.1;80;4.5
2024.0;3.0;13.0;23.0;27.6;27.6;26.60;28.60;2;23.6;80;4.5
2024.0;3.0;13.0;24.0;28.25;28.25;27.25;29.25;2;24.2;80;4.5
2024.0;3.0;14.0;1.0;27.72;27.72;26.72;28.72;2;23.7;80;4.5
2024.0;3.0;14.0;2.0;27.34;27.34;26.34;28.34;2;23.3;80;4.5
2024.0;3.0;14.0;3.0;27.85;27.85;26.85;28.85;2;23.9;80;4.5
2024.0;3.0;14.0;4.0;28.53;28.53;27.53;29.53;2;24.5;80;4.5
2024.0;3.0;14.0;5.0;28.13;28.13;27.13;29.13;2;24.1;80;4.5
2024.0;3.0;14.0;6.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;3.0;14.0;7.0;28.24;28.24;27.24;29.24;2;24.2;80;4.5
2024.0;3.0;14.0;8.0;28.39;28.39;27.39;29.39;2;24.4;80;4.5
2024.0;3.0;14.0;9.0;28.91;28.91;27.91;29.91;2;24.9;80;4.5
2024.0;3.0;14.0;10.0;29.51;29.51;28.51;30.51;2;25.5;80;4.5
2024.0;3.0;14.0;11.0;30.27;30.27;29.27;31.27;2;26.3;80;4.5
2024.0;3.0;14.0;12.0;30.52;30.52;29.52;31.52;2;26.5;80;4.5
2024.0;3.0;14.0;13.0;31.05;31.05;30.05;32.05;2;27.1;80;4.5
2024.0;3.0;14.0;14.0;31.11;31.11;30.11;32.11;2;27.1;80;4.5
2024.0;3.0;14.0;15.0;31.45;31.45;30.45;32.45;2;27.4;80;4.5
2024.0;3.0;14.0;16.0;31.13;31.13;30.13;32.13;2;27.1;80;4.5
2024.0;3.0;14.0;17.0;31.24;31.24;30.24;32.24;2;27.2;80;4.5
2024.0;3.0;14.0;18.0;30.87;30.87;29.87;31.87;2;26.9;80;4.5
2024.0;3.0;14.0;19.0;31.57;31.57;30.57;32.57;2;27.6;80;4.5
2024.0;3.0;14.0;20.0;30.64;30.64;29.64;31.64;2;26.6;80;4.5
2024.0;3.0;14.0;21.0;29.26;29.26;28.26;30.26;2;25.3;80;4.5
2024.0;3.0;14.0;22.0;30.0;30.0;29.00;31.00;2;26.0;80;4.5
2024.0;3.0;14.0;23.0;29.08;29.08;28.08;30.08;2;25.1;80;4.5
2024.0;3.0;14.0;24.0;28.87;28.87;27.87;29.87;2;24.9;80;4.5
2024.0;3.0;15.0;1.0;27.95;27.95;26.95;28.95;2;23.9;80;4.5
2024.0;3.0;15.0;2.0;26.98;26.98;25.98;27.98;2;23.0;80;4.5
2024.0;3.0;15.0;3.0;27.67;27.67;26.67;28.67;2;23.7;80;4.5
2024.0;3.0;15.0;4.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;3.0;15.0;5.0;28.07;28.07;27.07;29.07;2;24.1;80;4.5
2024.0;3.0;15.0;6.0;26.64;26.64;25.64;27.64;2;22.6;80;4.5
2024.0;3.0;15.0;7.0;30.11;30.11;29.11;31.11;2;26.1;80;4.5
2024.0;3.0;15.0;8.0;30.24;30.24;29.24;31.24;2;26.2;80;4.5
2024.0;3.0;15.0;9.0;29.6;29.6;28.60;30.60;2;25.6;80;4.5
2024.0;3.0;15.0;10.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;3.0;15.0;11.0;31.68;31.68;30.68;32.68;2;27.7;80;4.5
2024.0;3.0;15.0;12.0;30.98;30.98;29.98;31.98;2;27.0;80;4.5
2024.0;3.0;15.0;13.0;31.44;31.44;30.44;32.44;2;27.4;80;4.5
2024.0;3.0;15.0;14.0;30.75;30.75;29.75;31.75;2;26.8;80;4.5
2024.0;3.0;15.0;15.0;31.61;31.61;30.61;32.61;2;27.6;80;4.5
2024.0;3.0;15.0;16.0;32.11;32.11;31.11;33.11;2;28.1;80;4.5
2024.0;3.0;15.0;17.0;30.99;30.99;29.99;31.99;2;27.0;80;4.5
2024.0;3.0;15.0;18.0;31.43;31.43;30.43;32.43;2;27.4;80;4.5
2024.0;3.0;15.0;19.0;30.48;30.48;29.48;31.48;2;26.5;80;4.5
2024.0;3.0;15.0;20.0;30.09;30.09;29.09;31.09;2;26.1;80;4.5
2024.0;3.0;15.0;21.0;29.66;29.66;28.66;30.66;2;25.7;80;4.5
2024.0;3.0;15.0;22.0;28.71;28.71;27.71;29.71;2;24.7;80;4.5
2024.0;3.0;15.0;23.0;28.85;28.85;27.85;29.85;2;24.9;80;4.5
2024.0;3.0;15.0;24.0;28.68;28.68;27.68;29.68;2;24.7;80;4.5
2024.0;3.0;16.0;1.0;27.17;27.17;26.17;28.17;2;23.2;80;4.5
2024.0;3.0;16.0;2.0;28.17;28.17;27.17;29.17;2;24.2;80;4.5
2024.0;3.0;16.0;3.0;27.67;27.67;26.67;28.67;2;23.7;80;4.5
2024.0;3.0;16.0;4.0;28.15;28.15;27.15;29.15;2;24.1;80;4.5
2024.0;3.0;16.0;5.0;27.63;27.63;26.63;28.63;2;23.6;80;4.5
2024.0;3.0;16.0;6.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;3.0;16.0;7.0;28.63;28.63;27.63;29.63;2;24.6;80;4.5
2024.0;3.0;16.0;8.0;29.92;29.92;28.92;30.92;2;25.9;80;4.5
2024.0;3.0;16.0;9.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;3.0;16.0;10.0;30.04;30.04;29.04;31.04;2;26.0;80;4.5
2024.0;3.0;16.0;11.0;30.75;30.75;29.75;31.75;2;26.8;80;4.5
2024.0;3.0;16.0;12.0;31.33;31.33;30.33;32.33;2;27.3;80;4.5
2024.0;3.0;16.0;13.0;31.11;31.11;30.11;32.11;2;27.1;80;4.5
2024.0;3.0;16.0;14.0;31.51;31.51;30.51;32.51;2;27.5;80;4.5
2024.0;3.0;16.0;15.0;32.22;32.22;31.22;33.22;2;28.2;80;4.5
2024.0;3.0;16.0;16.0;31.11;31.11;30.11;32.11;2;27.1;80;4.5
2024.0;3.0;16.0;17.0;30.77;30.77;29.77;31.77;2;26.8;80;4.5
2024.0;3.0;16.0;18.0;31.65;31.65;30.65;32.65;2;27.6;80;4.5
2024.0;3.0;16.0;19.0;30.19;30.19;29.19;31.19;2;26.2;80;4.5
2024.0;3.0;16.0;20.0;29.51;29.51;28.51;30.51;2;25.5;80;4.5
2024.0;3.0;16.0;21.0;29.53;29.53;28.53;30.53;2;25.5;80;4.5
2024.0;3.0;16.0;22.0;29.27;29.27;28.27;30.27;2;25.3;80;4.5
2024.0;3.0;16.0;23.0;28.66;28.66;27.66;29.66;2;24.7;80;4.5
2024.0;3.0;16.0;24.0;28.8;28.8;27.80;29.80;2;24.8;80;4.5
2024.0;3.0;17.0;1.0;27.58;27.58;26.58;28.58;2;23.6;80;4.5
2024.0;3.0;17.0;2.0;28.03;28.03;27.03;29.03;2;24.0;80;4.5
2024.0;3.0;17.0;3.0;28.42;28.42;27.42;29.42;2;24.4;80;4.5
2024.0;3.0;17.0;4.0;28.19;28.19;27.19;29.19;2;24.2;80;4.5
2024.0;3.0;17.0;5.0;28.02;28.02;27.02;29.02;2;24.0;80;4.5
2024.0;3.0;17.0;6.0;27.82;27.82;26.82;28.82;2;23.8;80;4.5
2024.0;3.0;17.0;7.0;28.33;28.33;27.33;29.33;2;24.3;80;4.5
2024.0;3.0;17.0;8.0;29.05;29.05;28.05;30.05;2;25.1;80;4.5
2024.0;3.0;17.0;9.0;29.33;29.33;28.33;30.33;2;25.3;80;4.5
2024.0;3.0;17.0;10.0;30.63;30.63;29.63;31.63;2;26.6;80;4.5
2024.0;3.0;17.0;11.0;30.62;30.62;29.62;31.62;2;26.6;80;4.5
2024.0;3.0;17.0;12.0;31.51;31.51;30.51;32.51;2;27.5;80;4.5
2024.0;3.0;17.0;13.0;31.65;31.65;30.65;32.65;2;27.6;80;4.5
2024.0;3.0;17.0;14.0;31.93;31.93;30.93;32.93;2;27.9;80;4.5
2024.0;3.0;17.0;15.0;31.42;31.42;30.42;32.42;2;27.4;80;4.5
2024.0;3.0;17.0;16.0;30.96;30.96;29.96;31.96;2;27.0;80;4.5
2024.0;3.0;17.0;17.0;31.76;31.76;30.76;32.76;2;27.8;80;4.5
2024.0;3.0;17.0;18.0;31.1;31.1;30.10;32.10;2;27.1;80;4.5
2024.0;3.0;17.0;19.0;30.37;30.37;29.37;31.37;2;26.4;80;4.5
2024.0;3.0;17.0;20.0;29.55;29.55;28.55;30.55;2;25.6;80;4.5
2024.0;3.0;17.0;21.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;3.0;17.0;22.0;28.97;28.97;27.97;29.97;2;25.0;80;4.5
2024.0;3.0;17.0;23.0;29.37;29.37;28.37;30.37;2;25.4;80;4.5
2024.0;3.0;17.0;24.0;27.57;27.57;26.57;28.57;2;23.6;80;4.5
2024.0;3.0;18.0;1.0;27.61;27.61;26.61;28.61;2;23.6;80;4.5
2024.0;3.0;18.0;2.0;26.89;26.89;25.89;27.89;2;22.9;80;4.5
2024.0;3.0;18.0;3.0;27.93;27.93;26.93;28.93;2;23.9;80;4.5
2024.0;3.0;18.0;4.0;28.09;28.09;27.09;29.09;2;24.1;80;4.5
2024.0;3.0;18.0;5.0;27.31;27.31;26.31;28.31;2;23.3;80;4.5
2024.0;3.0;18.0;6.0;27.63;27.63;26.63;28.63;2;23.6;80;4.5
2024.0;3.0;18.0;7.0;28.56;28.56;27.56;29.56;2;24.6;80;4.5
2024.0;3.0;18.0;8.0;29.17;29.17;28.17;30.17;2;25.2;80;4.5
2024.0;3.0;18.0;9.0;29.05;29.05;28.05;30.05;2;25.1;80;4.5
2024.0;3.0;18.0;10.0;31.09;31.09;30.09;32.09;2;27.1;80;4.5
2024.0;3.0;18.0;11.0;31.01;31.01;30.01;32.01;2;27.0;80;4.5
2024.0;3.0;18.0;12.0;31.38;31.38;30.38;32.38;2;27.4;80;4.5
2024.0;3.0;18.0;13.0;31.36;31.36;30.36;32.36;2;27.4;80;4.5
2024.0;3.0;18.0;14.0;32.39;32.39;31.39;33.39;2;28.4;80;4.5
2024.0;3.0;18.0;15.0;32.0;32.0;31.00;33.00;2;28.0;80;4.5
2024.0;3.0;18.0;16.0;31.75;31.75;30.75;32.75;2;27.8;80;4.5
2024.0;3.0;18.0;17.0;31.14;31.14;30.14;32.14;2;27.1;80;4.5
2024.0;3.0;18.0;18.0;32.03;32.03;31.03;33.03;2;28.0;80;4.5
2024.0;3.0;18.0;19.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;3.0;18.0;20.0;30.99;30.99;29.99;31.99;2;27.0;80;4.5
2024.0;3.0;18.0;21.0;28.92;28.92;27.92;29.92;2;24.9;80;4.5
2024.0;3.0;18.0;22.0;28.76;28.76;27.76;29.76;2;24.8;80;4.5
2024.0;3.0;18.0;23.0;28.04;28.04;27.04;29.04;2;24.0;80;4.5
2024.0;3.0;18.0;24.0;28.66;28.66;27.66;29.66;2;24.7;80;4.5
2024.0;3.0;19.0;1.0;27.16;27.16;26.16;28.16;2;23.2;80;4.5
2024.0;3.0;19.0;2.0;28.14;28.14;27.14;29.14;2;24.1;80;4.5
2024.0;3.0;19.0;3.0;27.89;27.89;26.89;28.89;2;23.9;80;4.5
2024.0;3.0;19.0;4.0;28.06;28.06;27.06;29.06;2;24.1;80;4.5
2024.0;3.0;19.0;5.0;27.94;27.94;26.94;28.94;2;23.9;80;4.5
2024.0;3.0;19.0;6.0;28.1;28.1;27.10;29.10;2;24.1;80;4.5
2024.0;3.0;19.0;7.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;3.0;19.0;8.0;29.2;29.2;28.20;30.20;2;25.2;80;4.5
2024.0;3.0;19.0;9.0;30.58;30.58;29.58;31.58;2;26.6;80;4.5
2024.0;3.0;19.0;10.0;31.04;31.04;30.04;32.04;2;27.0;80;4.5
2024.0;3.0;19.0;11.0;30.16;30.16;29.16;31.16;2;26.2;80;4.5
2024.0;3.0;19.0;12.0;30.7;30.7;29.70;31.70;2;26.7;80;4.5
2024.0;3.0;19.0;13.0;31.02;31.02;30.02;32.02;2;27.0;80;4.5
2024.0;3.0;19.0;14.0;30.82;30.82;29.82;31.82;2;26.8;80;4.5
2024.0;3.0;19.0;15.0;32.18;32.18;31.18;33.18;2;28.2;80;4.5
2024.0;3.0;19.0;16.0;31.34;31.34;30.34;32.34;2;27.3;80;4.5
2024.0;3.0;19.0;17.0;31.33;31.33;30.33;32.33;2;27.3;80;4.5
2024.0;3.0;19.0;18.0;31.01;31.01;30.01;32.01;2;27.0;80;4.5
2024.0;3.0;19.0;19.0;30.83;30.83;29.83;31.83;2;26.8;80;4.5
2024.0;3.0;19.0;20.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;3.0;19.0;21.0;29.79;29.79;28.79;30.79;2;25.8;80;4.5
2024.0;3.0;19.0;22.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;3.0;19.0;23.0;28.15;28.15;27.15;29.15;2;24.1;80;4.5
2024.0;3.0;19.0;24.0;27.74;27.74;26.74;28.74;2;23.7;80;4.5
2024.0;3.0;20.0;1.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;3.0;20.0;2.0;26.8;26.8;25.80;27.80;2;22.8;80;4.5
2024.0;3.0;20.0;3.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;3.0;20.0;4.0;27.83;27.83;26.83;28.83;2;23.8;80;4.5
2024.0;3.0;20.0;5.0;28.64;28.64;27.64;29.64;2;24.6;80;4.5
2024.0;3.0;20.0;6.0;29.21;29.21;28.21;30.21;2;25.2;80;4.5
2024.0;3.0;20.0;7.0;27.97;27.97;26.97;28.97;2;24.0;80;4.5
2024.0;3.0;20.0;8.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;3.0;20.0;9.0;29.35;29.35;28.35;30.35;2;25.4;80;4.5
2024.0;3.0;20.0;10.0;30.5;30.5;29.50;31.50;2;26.5;80;4.5
2024.0;3.0;20.0;11.0;30.55;30.55;29.55;31.55;2;26.6;80;4.5
2024.0;3.0;20.0;12.0;30.85;30.85;29.85;31.85;2;26.9;80;4.5
2024.0;3.0;20.0;13.0;32.67;32.67;31.67;33.67;2;28.7;80;4.5
2024.0;3.0;20.0;14.0;32.17;32.17;31.17;33.17;2;28.2;80;4.5
2024.0;3.0;20.0;15.0;31.95;31.95;30.95;32.95;2;27.9;80;4.5
2024.0;3.0;20.0;16.0;31.78;31.78;30.78;32.78;2;27.8;80;4.5
2024.0;3.0;20.0;17.0;32.12;32.12;31.12;33.12;2;28.1;80;4.5
2024.0;3.0;20.0;18.0;31.02;31.02;30.02;32.02;2;27.0;80;4.5
2024.0;3.0;20.0;19.0;29.75;29.75;28.75;30.75;2;25.8;80;4.5
2024.0;3.0;20.0;20.0;30.72;30.72;29.72;31.72;2;26.7;80;4.5
2024.0;3.0;20.0;21.0;30.34;30.34;29.34;31.34;2;26.3;80;4.5
2024.0;3.0;20.0;22.0;29.5;29.5;28.50;30.50;2;25.5;80;4.5
2024.0;3.0;20.0;23.0;28.68;28.68;27.68;29.68;2;24.7;80;4.5
2024.0;3.0;20.0;24.0;28.72;28.72;27.72;29.72;2;24.7;80;4.5
2024.0;3.0;21.0;1.0;28.42;28.42;27.42;29.42;2;24.4;80;4.5
2024.0;3.0;21.0;2.0;27.24;27.24;26.24;28.24;2;23.2;80;4.5
2024.0;3.0;21.0;3.0;28.0;28.0;27.00;29.00;2;24.0;80;4.5
2024.0;3.0;21.0;4.0;27.42;27.42;26.42;28.42;2;23.4;80;4.5
2024.0;3.0;21.0;5.0;28.29;28.29;27.29;29.29;2;24.3;80;4.5
2024.0;3.0;21.0;6.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;3.0;21.0;7.0;28.47;28.47;27.47;29.47;2;24.5;80;4.5
2024.0;3.0;21.0;8.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;3.0;21.0;9.0;29.84;29.84;28.84;30.84;2;25.8;80;4.5
2024.0;3.0;21.0;10.0;30.56;30.56;29.56;31.56;2;26.6;80;4.5
2024.0;3.0;21.0;11.0;30.72;30.72;29.72;31.72;2;26.7;80;4.5
2024.0;3.0;21.0;12.0;31.68;31.68;30.68;32.68;2;27.7;80;4.5
2024.0;3.0;21.0;13.0;31.43;31.43;30.43;32.43;2;27.4;80;4.5
